degree,field,gpa,experience,graduation_year,skills,target_role
BTech,Mechanical,6.76,6,2019,"design,solidworks",Mechanical Engineer
MBA,EEE,5.86,2,2023,"circuits,power systems",Electrical Engineer
MBA,CSE,7.02,0,2025,"dsa,java",Web Developer
BSc,Data Science,6.14,4,2021,"statistics,sql",Software Engineer
MTech,HR,6.59,4,2021,"recruitment,communication",Business Analyst
MCA,AI/ML,7.34,3,2022,"deep learning,python",Software Engineer
MBA,Data Science,6.32,1,2024,"sql,statistics",Software Engineer
MBA,AI/ML,6.74,7,2018,"python,ml",Software Engineer
MBA,EEE,5.8,6,2019,"power systems,circuits",Electrical Engineer
MCA,AI/ML,5.97,6,2019,"ml,deep learning",Software Engineer
MTech,AI/ML,9.45,3,2022,"ml,python",Data Scientist
MCA,IT,8.76,4,2021,"js,html",Software Engineer
MCA,EEE,6.59,5,2020,"circuits,power systems",Electrical Engineer
BSc,EEE,6.07,0,2025,"circuits,power systems",Electrical Engineer
MCA,HR,7.95,1,2024,"communication,recruitment",Business Analyst
BTech,Civil,9.49,6,2019,"construction,autocad",Civil Engineer
BSc,Data Science,8.36,4,2021,"python,statistics",Data Scientist
MTech,AI/ML,9.76,1,2024,"ml,python",Data Scientist
BTech,Mechanical,9.18,5,2020,"solidworks,design",Mechanical Engineer
BTech,ECE,9.48,0,2025,"signals,c",Electrical Engineer
BSc,HR,9.44,0,2025,"communication,recruitment",Business Analyst
MCA,AI/ML,8.75,7,2018,"deep learning,ml",Data Scientist
MTech,Civil,6.81,0,2025,"construction,autocad",Civil Engineer
MBA,ECE,5.86,7,2018,"signals,c",Electrical Engineer
MCA,Civil,9.11,5,2020,"construction,autocad",Civil Engineer
MBA,CSE,7.7,4,2021,"dsa,python",Web Developer
BTech,EEE,6.33,2,2023,"circuits,power systems",Electrical Engineer
MCA,CSE,7.84,2,2023,"python,sql",Web Developer
BSc,Mechanical,5.52,1,2024,"design,solidworks",Mechanical Engineer
MTech,ECE,8.24,0,2025,"signals,c",Electrical Engineer
BSc,EEE,6.68,4,2021,"circuits,power systems",Electrical Engineer
MCA,Mechanical,6.54,5,2020,"solidworks,design",Mechanical Engineer
MBA,Mechanical,6.61,7,2018,"solidworks,design",Mechanical Engineer
MTech,AI/ML,6.03,0,2025,"ml,python",Software Engineer
BSc,Mechanical,7.17,4,2021,"solidworks,design",Mechanical Engineer
BSc,AI/ML,7.3,2,2023,"deep learning,python",Software Engineer
MTech,AI/ML,9.77,2,2023,"ml,python",Data Scientist
BSc,Mechanical,9.22,2,2023,"design,solidworks",Mechanical Engineer
BTech,EEE,8.37,4,2021,"circuits,power systems",Electrical Engineer
MCA,CSE,5.64,2,2023,"sql,java",Web Developer
BTech,CSE,6.85,1,2024,"python,java",Web Developer
